We have 342 topology rules
DX,DX,DX,DX,DX,DX,D128,D12,D0,D2,DX,DX,DX,DX,D0,D22 @ 0xa0000002c <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D2,DX,DX,DX,DX,D0,D22 @ 0x8e0000000c <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D2,DX,DX,DX,DX,D0,D22 @ 0x8d00000087 <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D2,DX,DX,DX,DX,D0,D22 @ 0x8c00000025 <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D2,DX,DX,DX,DX,D0,D22 @ 0xc0000001a <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D2,DX,DX,DX,DX,D0,D64 @ 0xb00000365 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
285 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D128,D12,D0,D17,DX,DX,DX,DX,D0,D22 @ 0xa0000002c <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D17,DX,DX,DX,DX,D0,D22 @ 0x3400000004 <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D17,DX,DX,DX,DX,D0,D22 @ 0x3300000078 <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D17,DX,DX,DX,DX,D0,D22 @ 0x3200000020 <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D17,DX,DX,DX,DX,D0,D22 @ 0xc0000001a <-- DX,DX,DX,DX,DX,DX,D128,D12,D0,D17,DX,DX,DX,DX,D0,D64 @ 0xb00000364 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
286 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D2,DX,DX,DX,DX,D0,D22 @ 0xa0000002c <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D2,DX,DX,DX,DX,D0,D22 @ 0x8e0000000c <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D2,DX,DX,DX,DX,D0,D22 @ 0x8d00000006 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D2,DX,DX,DX,DX,D0,D22 @ 0x8c00000025 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D2,DX,DX,DX,DX,D0,D22 @ 0xc0000001a <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D2,DX,DX,DX,DX,D0,D64 @ 0xb00000352 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
286 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D3,DX,DX,DX,DX,D0,D22 @ 0xa0000002c <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D3,DX,DX,DX,DX,D0,D22 @ 0x8400000005 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D3,DX,DX,DX,DX,D0,D22 @ 0x8300000006 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D3,DX,DX,DX,DX,D0,D22 @ 0x820000002a <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D3,DX,DX,DX,DX,D0,D22 @ 0xc0000000a <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D3,DX,DX,DX,DX,D0,D64 @ 0xb00000351 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
286 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xa00000027 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xa200000003 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xa100000001 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xa00000001f <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xc0000002e <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D64 @ 0xb00000350 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
287 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xa00000027 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0x2a0000003e <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0x2900000001 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0x280000002c <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D2 @ 0xc0000002e <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D4,DX,DX,DX,DX,D0,D64 @ 0xb00000350 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
287 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D5,DX,DX,DX,DX,D0,D2 @ 0xa00000027 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D5,DX,DX,DX,DX,D0,D2 @ 0x2000000038 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D5,DX,DX,DX,DX,D0,D2 @ 0x1f00000001 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D5,DX,DX,DX,DX,D0,D2 @ 0x1e0000002c <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D5,DX,DX,DX,DX,D0,D2 @ 0xc00000030 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D5,DX,DX,DX,DX,D0,D64 @ 0xb0000034f <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
287 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0xa00000027 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0x7000000037 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0x6f00000001 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0x6e0000002d <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0xc0000002e <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D64 @ 0xb0000034b <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
287 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0xa00000027 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0x2a0000003e <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0x2900000001 <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0x280000002c <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D2 @ 0xc0000002e <-- DX,DX,DX,DX,DX,DX,D172,D20,D0,D9,DX,DX,DX,DX,D0,D64 @ 0xb0000034b <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
287 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
